rank,ntasks
452.0,118166.0
59.0,148686.0
744.0,102971.0
678.0,151047.0
473.0,142145.0
360.0,149311.0
449.0,129983.0
391.0,166606.0
608.0,143743.0
493.0,156653.0
3.0,154808.0
137.0,142297.0
41.0,104558.0
469.0,147631.0
201.0,130066.0
740.0,141939.0
448.0,109120.0
498.0,95335.0
257.0,125319.0
206.0,130664.0
125.0,144455.0
714.0,149977.0
470.0,92099.0
683.0,110120.0
728.0,102525.0
772.0,122553.0
207.0,115581.0
198.0,141858.0
474.0,115527.0
552.0,156012.0
759.0,154624.0
529.0,119742.0
488.0,139402.0
540.0,160609.0
357.0,144185.0
549.0,115008.0
104.0,156232.0
505.0,148840.0
520.0,124605.0
532.0,137255.0
727.0,136289.0
553.0,117294.0
38.0,117241.0
710.0,123151.0
208.0,150494.0
181.0,162657.0
205.0,144272.0
495.0,142426.0
358.0,121285.0
211.0,114542.0
116.0,137903.0
227.0,119313.0
511.0,159121.0
271.0,137782.0
120.0,148147.0
524.0,136138.0
721.0,158510.0
487.0,129135.0
708.0,99767.0
228.0,119373.0
525.0,156738.0
722.0,115246.0
587.0,153576.0
212.0,87058.0
486.0,124338.0
538.0,156572.0
717.0,118033.0
528.0,140996.0
190.0,133139.0
93.0,165139.0
533.0,127481.0
355.0,116847.0
650.0,141960.0
539.0,140154.0
526.0,163493.0
115.0,143954.0
523.0,124121.0
521.0,123010.0
494.0,137424.0
262.0,151660.0
522.0,182683.0
169.0,152702.0
527.0,135260.0
723.0,135639.0
21.0,153815.0
530.0,151788.0
594.0,163978.0
706.0,109100.0
700.0,138203.0
34.0,131701.0
699.0,121402.0
565.0,109160.0
695.0,134138.0
720.0,160419.0
694.0,118825.0
178.0,115674.0
709.0,80016.0
37.0,121874.0
749.0,138856.0
682.0,141152.0
701.0,161363.0
753.0,130665.0
696.0,118310.0
677.0,167378.0
754.0,140872.0
681.0,151652.0
268.0,157033.0
698.0,159761.0
275.0,71947.0
693.0,149488.0
712.0,109299.0
259.0,125958.0
680.0,177290.0
335.0,132432.0
697.0,112611.0
741.0,145922.0
95.0,125366.0
687.0,161894.0
688.0,151549.0
686.0,112299.0
746.0,145132.0
655.0,137079.0
702.0,151174.0
113.0,127185.0
711.0,158379.0
24.0,150795.0
58.0,168543.0
52.0,160291.0
199.0,148890.0
51.0,150654.0
676.0,142561.0
260.0,176536.0
53.0,128281.0
50.0,117585.0
750.0,138228.0
179.0,138516.0
45.0,153071.0
6.0,106854.0
586.0,123989.0
44.0,163081.0
46.0,148721.0
9.0,127970.0
364.0,104119.0
748.0,149854.0
346.0,149218.0
531.0,144183.0
200.0,127147.0
651.0,142686.0
747.0,128064.0
43.0,121332.0
689.0,107264.0
28.0,148827.0
745.0,145563.0
